station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,add,lon,lat,open_ymd,close_ymd,e_status,e_sort
1110503,1110503,TOASA,,,11105,1,hokkaido abira-cho yufutsu-gun toasa,141.769568,42.729533,,,0,1110503
1110504,1110504,HAYAKITA,,,11105,1,hokkaido abira-cho yufutsu-gun hayakita omachi,141.814106,42.765237,,,0,1110504
1110505,1110505,YASUHIRA,,,11105,1,hokkaido abira-cho yufutsu-gun abira,141.825283,42.814007,,,0,1110505
1110506,1110506,OIWAKE,,,11105,1,hokkaido abira-cho yufutsu-gun oiwake chuo,141.810678,42.873316,,,0,1110506
1110507,1110507,MIKAWA,,,11105,1,hokkaido yuni-cho yubari-gun,141.800778,42.945029,,,0,1110507
1110508,1110508,KOYAMA,,,11105,1,hokkaido yuni-cho yubari-gun furusan,141.793969,42.975256,,,0,1110508
1110509,1110509,YUNI,,,11105,1,hokkaido yuni-cho yubari-gun furusan,141.785868,43.012206,,,0,1110509
1110510,1110510,KURIYAMA,,,11105,1,hokkaido kuriyama-cho yubari-gun chuo,141.775603,43.058164,,,0,1110510
1110511,1110511,KURIOKA,,,11105,1,hokkaido iwamizawa-shi kurisawacho kurioka,141.744333,43.085444,,,0,1110511
1110512,1110512,KURISAWA,,,11105,1,hokkaido iwamizawa-shi kurisawacho honcho,141.739743,43.120367,,,0,1110512
1110513,1110513,SHIBUN,,,11105,1,hokkaido iwamizawa-shi shibunhoncho 1-jo,141.744443,43.158903,,,0,1110513
1110514,1110327,IWAMIZAWA,,,11105,1,hokkaido iwamizawa-shi ariakecho minami,141.759359,43.204201,,,0,1110514
1110601,1110335,TAKIGAWA,,,11106,1,hokkaido takikawa-shi sakaemachi,141.900807,43.555278,,,0,1110601
1110602,1110602,HIGASHITAKIGAWA,,,11106,1,hokkaido takikawa-shi higashitakikawa,141.98031,43.574037,,,0,1110602
1110603,1110603,AKAHIRA,,,11106,1,hokkaido akabira-shi izumimachi,142.048669,43.555144,,,0,1110603
